id,name,reg_date,img_url,reference_price,id_category
157,"origami insects and their kin,step-by-step instructions in over 1500 diagrams","2020-09-21 17:01:45",NULL,NULL,1
158,"mythological creatures and the chinese zodiac origami","2020-09-21 17:01:48",NULL,NULL,1
159,"DC Superhéroes Origami","2020-09-21 17:01:50",NULL,NULL,1
160,"Favorite Animals in Origami (Dover Origami Papercraft) (libro en Inglés)","2020-09-21 17:01:55",NULL,NULL,1
161,"Invincible: The Ultimate Collection Volume 12 (libro en Inglés)","2020-09-21 17:01:58",NULL,NULL,1
163,"Invincible: The Ultimate Collection Volume 5 (libro en Inglés)","2020-09-21 17:02:03",NULL,NULL,1
164,"Teenage Mutant Ninja Turtles: The idw Collection Volume 2 (libro en Inglés)","2020-09-21 17:02:06",NULL,NULL,1
165,"Tales From the dc Dark Multiverse (libro en Inglés)","2020-09-21 17:02:08",NULL,NULL,1
167,"Dceased (libro en Inglés)","2020-09-21 17:02:13",NULL,NULL,1
168,"Vinland Saga 3 (libro en Inglés)","2020-09-21 17:02:16",NULL,NULL,1
169,"Vinland Saga Vol. 10 (libro en Inglés)","2020-09-21 17:02:21",NULL,NULL,1
170,"Death Note (All-In-One Edition) (libro en Inglés)","2020-09-21 17:02:23",NULL,NULL,1
177,"Arte De Tejer 2016","2020-10-21 11:00:25",NULL,NULL,1
181,"Entender el Comic","2020-10-29 10:01:06",NULL,NULL,1
185,"Mobile Suit Gundam: The Origin Vol. 2: Garma (libro en Inglés)","2020-11-19 09:40:38",NULL,NULL,1
186,"20 Master Plots: And how to Build Them (libro en Inglés)","2020-11-26 12:16:22",NULL,NULL,1
187,"Sherlock Holmes (Obras Completas) (4 Tomos) (Td)","2020-12-07 11:08:14",NULL,NULL,1
188,"El Silencio de los Malditos","2020-12-10 15:15:28",NULL,NULL,1
189,"Bovedas de Acero","2020-12-16 09:28:48",NULL,NULL,1
193,"Dune novela grafica","2020-12-23 19:18:48",NULL,NULL,1
194,"Death Note Edición Integral","2020-12-29 12:59:38",NULL,NULL,1
195,"Erase una vez en Francia. Edicion Integral","2020-12-29 13:02:13",NULL,NULL,1
196,"The Crow","2021-01-13 13:35:41",NULL,NULL,1
201,"Devilman: The First 03","2021-01-13 13:41:14",NULL,NULL,1
202,"El Puño de la Estrella del Norte (Hokuto no Ken) nº 08/18","2021-01-13 13:41:42",NULL,NULL,1
204,"Billy bat 01","2021-01-14 16:14:16",NULL,NULL,1
205,"Billy bat 02","2021-01-14 16:14:52",NULL,NULL,1
206,"Billy bat 03","2021-01-14 16:15:23",NULL,NULL,1
207,"Billy bat 04","2021-01-14 16:15:47",NULL,NULL,1
208,"Billy bat 05","2021-01-14 16:16:10",NULL,NULL,1
209,"Happy! 01","2021-01-14 16:17:31",NULL,NULL,1
210,"Happy! 02","2021-01-14 16:17:57",NULL,NULL,1
211,"Happy! 03","2021-01-14 16:18:22",NULL,NULL,1
212,"Happy! 04","2021-01-14 16:18:46",NULL,NULL,1
213,"Happy! 05","2021-01-14 16:19:06",NULL,NULL,1
214,"Sombras Sobre Shimanami, Vol. 1","2021-01-15 11:39:00",NULL,NULL,1
215,"Sombras Sobre Shimanami, Vol. 2","2021-01-15 11:39:30",NULL,NULL,1
216,"Sombras Sobre Shimanami, Vol. 3","2021-01-15 11:40:00",NULL,NULL,1
217,"Sombras Sobre Shimanami, Vol. 4","2021-01-15 11:40:28",NULL,NULL,1
218,"El Barrio de la luz","2021-01-18 17:46:55",NULL,NULL,1
219,Reiraku,"2021-01-18 17:49:23",NULL,NULL,1
220,"Antologia de Inio Asano","2021-01-18 17:50:00",NULL,NULL,1
221,"Un Mundo Maravilloso","2021-01-18 17:50:38",NULL,NULL,1
223,"Snow Crash","2021-01-20 13:01:17",NULL,NULL,1
225,"Levius 01","2021-02-01 11:40:06",NULL,NULL,1
226,"Levius 02","2021-02-01 11:40:45",NULL,NULL,1
227,"Capitan Tsubasa","2021-02-09 12:11:09",NULL,NULL,1
228,"Batman by Grant Morrison Omnibus Vol. 3 (libro en Inglés)","2021-02-17 11:41:37",NULL,NULL,1
230,"La Capa 1969","2021-02-26 17:35:35",NULL,10000,1
232,"American Gods Sombras (Tomo) nº 01/03","2021-03-08 15:28:48",NULL,20000,1
233,"American Gods Sombras (Tomo) nº 02","2021-03-08 15:30:07",NULL,20000,1
234,"En Busca de Venus: El Arte de Medir el Cielo","2021-03-09 10:23:02",NULL,16000,1
235,"La Voragine","2021-03-09 10:29:24",NULL,12000,1
236,"La mano izquierda de la oscuridad","2021-03-09 10:32:21",NULL,18000,1
237,"El Adversario","2021-03-09 10:36:04",NULL,12000,1
238,"Una Música Futura","2021-03-09 10:37:46",NULL,5000,1
239,"Pobres Diablos","2021-03-09 10:43:24",NULL,8000,1
240,"Terramar 50 Aniversario","2021-03-10 17:07:32",NULL,50000,1
242,"El Nadador en el mar Secreto","2021-03-10 17:20:23",NULL,10000,1
243,Stoner,"2021-03-10 17:23:25",NULL,12000,1
244,"Quien se Hara Cargo del Hospital de Ranas?","2021-03-10 17:26:44",NULL,14000,1
245,"Lo que mas me Gusta son los Monstruos","2021-03-10 17:31:11",NULL,20000,1
246,"Memento mori (Versos, canciones y trocitos de carne 1)","2021-03-10 17:33:40",NULL,12000,1
247,"El Diario de un Hombre Decepcionado","2021-03-10 17:36:48",NULL,25000,1
248,"Nuestra Parte de Noche","2021-03-10 17:38:58",NULL,15000,1
249,Lugar,"2021-03-10 17:45:03",NULL,8000,1
250,"Los Pololos de mi Mamá","2021-03-10 17:48:26",NULL,5000,1
251,"Ahogado, el","2021-03-11 17:19:29",NULL,12000,1
252,"Algún día Este Dolor te Será Útil","2021-03-11 17:20:43",NULL,15000,1
253,Karmen,"2021-04-01 12:49:25",NULL,28000,1
256,Clandestino,"2021-04-05 11:16:35",NULL,12000,1
257,"Batman: Road to no Man's Land Omnibus","2021-05-25 09:21:52",NULL,70000,1
258,"The Boys Integral 3","2021-06-01 10:26:50",NULL,35000,1
261,"Jla by Grant Morrison Omnibus","2021-06-22 09:36:26",NULL,60000,1
