id;name;newPrice;avgPrice;bestPrice;worstPrice;percentPrice;percentDiscountPrice;umbral
93;Andinia. La Catedral Antartica;15300.0;10800.0;6300.0;15300.0;141.666666667;-41;70.0;https://www.buscalibre.cl/libro-andinia-la-catedral-antartica/9789563601480/p/47477160
94;Cuentos Completos i  (Philip k. Dick ) (Bibliotecas de Autor);23330.0;25583.75;23330.0;26890.0;91.1906972199;8;70.0;https://www.buscalibre.cl/libro-cuentos-completos-i-philip-k-dick-bibliotecas-de-autor/9788445007211/p/52290979
95;Ubik;19310.0;21267.5;19310.0;23000.0;90.795815211;9;70.0;https://www.buscalibre.cl/libro-ubik/9788445007372/p/52154637
96;Los Tres Estigmas de Palmer Eldritch;19310.0;21201.875;19310.0;22280.0;91.0768505144;8;70.0;https://www.buscalibre.cl/libro-los-tres-estigmas-de-palmer-eldritch/9788445007150/p/52062116
97;La Penúltima Verdad;19310.0;21020.625;19310.0;22130.0;91.8621591889;8;70.0;https://www.buscalibre.cl/libro-la-penultima-verdad/9788445007334/p/52290976
98;Cuentos Completos ii  (Philip k. Dick );23330.0;17030.0;14370.0;23330.0;136.99354081;-36;70.0;https://www.buscalibre.cl/libro-cuentos-completos-2/9788445007228/p/52430547
99;Fluyan mis Lï¿ ½Grimas, Dijo el Policï¿ ½A;19310.0;21201.875;19310.0;22280.0;91.0768505144;8;70.0;https://www.buscalibre.cl/libro-fluyan-mis-li-grimas-dijo-el-polici-a/9788445006986/p/52009732
100;Crónicas Marcianas;19770.0;21174.375;19770.0;22130.0;93.3675728327;6;70.0;https://www.buscalibre.cl/libro-cronicas-marcianas/9786070761546/p/52017183
101;Dune;0.0;17905.0;0.0;19900.0;0.0;100;70.0;https://www.buscalibre.cl/libro-dune/9788497596824/p/1817778
102;El sol Desnudo;15530.0;17076.875;15530.0;17930.0;90.941697471;9;70.0;https://www.buscalibre.cl/libro-el-sol-desnudo/9788497937856/p/1801215
103;Los Robots del Amanecer;15580.0;17133.75;15580.0;17990.0;90.9316407675;9;70.0;https://www.buscalibre.cl/libro-los-robots-del-amanecer/9788497599559/p/1068199
